Date,Open,Higest,Lowest,Close,Volume,Turnover
2015/11/2,3489.23,3543.45,3474.71,3475.96,130002568,1.67E+11
2015/11/3,3484.72,3501.7,3452.62,3465.49,101401876,1.32E+11
2015/11/4,3477.16,3628.54,3477.16,3628.54,205423865,2.67E+11
2015/11/5,3630.78,3781.41,3627.3,3705.97,398046568,4.95E+11
2015/11/6,3698.34,3801.71,3694.66,3793.37,298753076,3.90E+11
2015/11/9,3796.38,3891.77,3796.38,3840.35,356804823,4.63E+11
2015/11/10,3806.67,3876.49,3798.82,3833.24,286519603,3.81E+11
2015/11/11,3828.45,3843.11,3781.41,3833.65,232234296,3.07E+11
2015/11/12,3841.74,3843.9,3771.27,3795.32,217537647,3.02E+11
2015/11/13,3756.2,3793.71,3727.58,3746.24,203489891,2.82E+11
2015/11/16,3682.73,3764.41,3680.07,3764.13,161690901,2.27E+11
2015/11/17,3790.43,3852.77,3750.16,3758.39,248533071,3.65E+11
2015/11/18,3760.46,3771.85,3706.31,3715.58,185689495,2.54E+11
2015/11/19,3725.62,3775.23,3714.67,3774.97,154631989,2.05E+11
2015/11/20,3778.88,3793.54,3757.03,3774.38,186951689,2.42E+11
2015/11/23,3774.44,3802.85,3743.41,3753.34,175626812,2.35E+11
2015/11/24,3745.76,3754.17,3702.74,3753.89,143383283,1.92E+11
2015/11/25,3747.76,3781.86,3735.72,3781.61,151944941,2.15E+11
2015/11/26,3795.25,3805.84,3756.82,3759.43,173525468,2.40E+11
2015/11/27,3739.1,3742.74,3534.39,3556.99,208939358,2.70E+11
2015/11/30,3554.89,3587.97,3455.07,3566.41,173201163,2.20E+11
2015/12/1,3562.32,3617.31,3536.12,3591.7,136536554,1.77E+11
2015/12/2,3587.76,3725.85,3573.4,3721.95,213538865,2.61E+11
2015/12/3,3709.55,3758.45,3693.14,3749.3,197762126,2.37E+11
2015/12/4,3719.73,3726.12,3667.29,3677.59,151199522,1.96E+11
2015/12/7,3681.58,3699.34,3658.58,3687.61,113883150,1.61E+11
2015/12/8,3668.84,3668.84,3619.44,3623.02,125781083,1.63E+11
2015/12/9,3613.42,3655.16,3611.49,3635.94,113325422,1.54E+11
2015/12/10,3634.37,3678.32,3615.99,3623.08,120215625,1.69E+11
2015/12/11,3605.37,3630.74,3578.15,3608.06,110322481,1.45E+11
2015/12/14,3573.88,3712.5,3571,3711.32,151769119,2.03E+11
2015/12/15,3707.73,3717.36,3679.23,3694.39,126481710,1.87E+11
2015/12/16,3703.95,3713.09,3677.45,3685.44,111342723,1.60E+11
2015/12/17,3712.78,3768.84,3709.85,3755.89,177924075,2.43E+11
2015/12/18,3754.96,3810.22,3750.93,3767.91,173465980,2.32E+11
2015/12/21,3762.1,3877.82,3759.99,3865.96,217435275,2.90E+11
2015/12/22,3872.1,3880.47,3841.59,3876.73,180303661,2.44E+11
2015/12/23,3877.87,3926.69,3862.96,3866.38,207017147,2.95E+11
2015/12/24,3858.13,3867.68,3787.08,3829.4,147181397,2.04E+11
2015/12/25,3832.08,3848.02,3813.2,3838.2,119624013,1.63E+11
2015/12/28,3847.53,3853.39,3727.63,3727.63,153988440,2.10E+11
2015/12/29,3723.05,3762.05,3710.48,3761.87,101885555,1.40E+11
2015/12/30,3762.91,3765.66,3726.28,3765.18,105629955,1.56E+11
2015/12/31,3760.9,3772.62,3727.32,3731,101873556,1.45E+11
2016/1/4,3725.86,3726.24,3468.95,3469.07,115370674,1.46E+11
2016/1/5,3382.18,3518.22,3377.28,3478.78,162116984,1.96E+11
2016/1/6,3482.41,3543.74,3468.47,3539.81,145966144,1.61E+11
2016/1/7,3481.15,3481.15,3284.74,3294.38,44102641,47130796032
2016/1/8,3371.87,3418.85,3237.93,3361.56,185959451,2.03E+11
2016/1/11,3303.12,3342.48,3192.45,3192.45,174638387,1.84E+11
2016/1/12,3214.82,3242.25,3174.55,3215.71,128225796,1.42E+11
2016/1/13,3240.48,3257.3,3155.88,3155.88,120666494,1.31E+11
2016/1/14,3076.64,3226.66,3072.04,3221.57,134537671,1.45E+11
2016/1/15,3200.89,3216.8,3101.05,3118.73,124601779,1.32E+11
2016/1/18,3068.23,3165.62,3066.73,3130.73,101128386,1.09E+11
2016/1/19,3132.7,3227.91,3119.22,3223.13,127653893,1.43E+11
2016/1/20,3204.22,3225.95,3154.43,3174.38,130650504,1.43E+11
2016/1/21,3136.38,3202.54,3081.35,3081.35,111189733,1.22E+11
2016/1/22,3114.9,3132.17,3053.96,3113.46,89951087,96885669888
2016/1/25,3129.03,3149.33,3105.1,3128.89,81540061,85777891328
2016/1/26,3099.6,3106.53,2934.65,2940.51,126933921,1.27E+11
2016/1/27,2953.18,2963.54,2839.29,2930.35,132229366,1.27E+11
2016/1/28,2909.33,2941.89,2841.84,2853.76,99222756,95663874048
2016/1/29,2855.6,2965.31,2854.37,2946.09,113304259,1.09E+11
2016/2/1,2939.04,2944.52,2869.56,2901.05,86795342,82931449856
2016/2/2,2901.53,2972.43,2901.51,2961.33,88601963,88740233216
2016/2/3,2931.29,2954.71,2909.9,2948.64,77389000,74817093632
2016/2/4,2960.33,2999.21,2960.21,2984.76,91779724,91550343168
2016/2/5,2982.06,2988.36,2962.85,2963.79,76850808,77443219456
2016/2/15,2888.43,2961.49,2886.02,2946.71,72919434,71285047296
2016/2/16,2962.19,3042.09,2962.19,3037.04,112579643,1.12E+11
2016/2/17,3034.09,3065.78,3027.05,3063.32,128291607,1.22E+11
2016/2/18,3079.53,3093.51,3049.84,3053.7,124401464,1.23E+11
2016/2/19,3047.94,3065.97,3032.63,3051.58,87338012,90849345536
2016/2/22,3083.93,3128.21,3071.33,3118.87,140946968,1.42E+11
2016/2/23,3117.2,3119.22,3061.43,3089.36,112567391,1.17E+11
2016/2/24,3077.61,3109.55,3055.25,3109.55,111782650,1.13E+11
2016/2/25,3104.41,3104.44,2905.46,2918.75,157829752,1.53E+11
2016/2/26,2942.1,2964.39,2902.95,2948.03,106949729,1.03E+11
2016/2/29,2939.58,2939.87,2821.21,2877.47,129341020,1.18E+11
2016/3/1,2881.34,2950.44,2863.32,2930.69,116045918,1.10E+11
2016/3/2,2933.92,3054.72,2933.12,3051.33,175972347,1.64E+11
2016/3/3,3050.39,3078.44,3040.25,3058.42,173105744,1.66E+11
2016/3/4,3047.54,3101.66,3032.42,3093.89,219172534,2.06E+11
2016/3/7,3109,3130.9,3083.58,3104.84,132462037,1.28E+11
2016/3/8,3100.15,3109.25,3001.83,3107.67,136235742,1.29E+11
2016/3/9,3045.92,3072.92,3020.13,3071.91,111466245,1.06E+11
2016/3/10,3056.21,3074.16,3012.69,3013.15,76072197,78180466688
2016/3/11,2990.21,3026.44,2982.17,3018.28,73333564,74367295488
2016/3/14,3039.57,3106.8,3034,3065.69,117108655,1.24E+11
2016/3/15,3061.34,3077.08,3028.58,3074.78,98311941,1.01E+11
2016/3/16,3068.87,3100.35,3064.52,3090.03,124736448,1.26E+11
2016/3/17,3096.81,3147.84,3077.57,3124.2,121661777,1.37E+11
2016/3/18,3136.22,3197.67,3130.1,3171.96,197302564,2.10E+11
2016/3/21,3203.29,3267.78,3198.36,3249.44,233269464,2.57E+11
2016/3/22,3231.61,3249.68,3218.73,3225.79,161020897,1.94E+11
2016/3/23,3217.73,3242.25,3202.98,3236.09,125679286,1.56E+11
2016/3/24,3211.5,3221.91,3181.81,3181.85,133131122,1.62E+11
2016/3/25,3176.81,3204.44,3174.32,3197.82,97395330,1.15E+11
2016/3/28,3206.95,3229.62,3161.88,3169.73,103441933,1.24E+11
2016/3/29,3171.31,3178.07,3122.76,3135.41,97294747,1.14E+11
2016/3/30,3161.29,3216.68,3161.29,3216.28,117802512,1.41E+11
2016/3/31,3229.2,3241.93,3208.66,3218.09,121552074,1.47E+11
2016/4/1,3213.67,3222.61,3165.86,3221.89,118122139,1.27E+11
2016/4/5,3211.3,3271.93,3205.21,3264.49,146047772,1.59E+11
2016/4/6,3250.52,3267.64,3236.2,3257.53,120196305,1.37E+11
2016/4/7,3266.29,3270.82,3208.64,3209.29,112409467,1.28E+11
2016/4/8,3189.85,3197.77,3163.3,3185.73,101005625,1.14E+11
2016/4/11,3213.51,3251.57,3213.51,3230.1,125212709,1.43E+11
2016/4/12,3227.37,3232.26,3198.9,3218.45,92869437,99086557184
2016/4/13,3237.86,3296.52,3237.86,3261.38,195613866,2.00E+11
2016/4/14,3277.1,3286.07,3252.05,3275.83,113157327,1.18E+11
2016/4/15,3279.86,3282.98,3261.73,3272.21,99807529,1.08E+11
2016/4/18,3252.67,3252.67,3221.66,3228.45,97090069,1.04E+11
2016/4/19,3243.97,3250.73,3221.58,3238.3,80871440,90976239616
2016/4/20,3244.14,3248.42,3107.37,3181.03,162207858,1.72E+11
2016/4/21,3160.8,3198.56,3150.94,3160.6,104752651,1.10E+11
2016/4/22,3142.56,3175.38,3137.99,3174.9,77078492,82442919936
2016/4/25,3164.74,3172.27,3137.11,3162.03,67519351,74734845952
2016/4/26,3159.77,3181.1,3150.4,3179.16,59020734,68871553024
2016/4/27,3181.93,3188.83,3162.69,3165.92,60004147,70620405760
2016/4/28,3169.33,3174.77,3135.64,3160.58,69870660,78876770304
2016/4/29,3153.54,3171.29,3149.4,3156.75,58029776,70807707648
